Percentage served,Time in ms
0,765.926
1,813.236
2,844.076
3,852.061
4,860.080
5,868.671
6,881.216
7,892.102
8,901.171
9,909.713
10,914.048
11,920.652
12,928.121
13,932.552
14,940.938
15,944.831
16,949.433
17,954.496
18,960.769
19,966.478
20,970.038
21,975.372
22,983.874
23,990.024
24,993.346
25,999.516
26,1004.285
27,1008.666
28,1014.484
29,1020.546
30,1023.355
31,1031.188
32,1037.791
33,1043.339
34,1047.542
35,1054.548
36,1059.194
37,1062.161
38,1064.551
39,1068.823
40,1077.144
41,1083.204
42,1088.930
43,1094.728
44,1097.841
45,1101.854
46,1107.320
47,1111.152
48,1112.784
49,1116.291
50,1126.458
51,1134.239
52,1140.176
53,1148.926
54,1156.932
55,1165.732
56,1178.102
57,1192.698
58,1200.225
59,1208.773
60,1222.396
61,1247.076
62,1276.916
63,1308.078
64,1383.067
65,2207.829
66,2360.569
67,2460.979
68,2638.734
69,2909.458
70,3395.500
71,3721.457
72,4083.747
73,4625.122
74,5159.235
75,5482.731
76,5753.114
77,5978.102
78,6028.828
79,6112.134
80,6234.224
81,6313.069
82,6381.372
83,6463.535
84,6575.468
85,6666.107
86,6709.191
87,6780.382
88,6836.715
89,6936.507
90,7055.078
91,7151.555
92,7217.417
93,7315.880
94,7483.158
95,7611.081
96,7872.078
97,8038.466
98,8248.871
99,8533.943
100,9075.773
